NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;Si;;;157.1414;58.0432;41;6628.2543;3937;745;1.4039;38;3;9;30;11;32;11;2532;531;66;138
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;--;;;0.0000;0.0000;73;0.0000;8544;40;0.4701;16;4;0;47;26;40;0;8475;34;514;571
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;Si;;;172.7140;62.2903;44;6714.6113;4017;726;1.3522;36;1;9;32;12;32;10;2597;509;88;155
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;No;68.0166;1.08347;62.7763;32.0724;2484;1737.2336;81923;52625;2.2360;232;31;18;1323;1161;1389;1149;67761;45745;27961;43844
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;66.3987;1.04375;63.6155;31.3236;2426;1671.9008;79636;49852;2.2317;224;36;22;1262;1164;1297;1141;65867;43377;30285;45140
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;83;0.0000;8307;37;0.4955;17;5;0;48;35;40;1;8243;32;559;563
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;184.0395;62.2903;44;6854.7645;4138;704;1.3043;32;1;8;32;12;32;10;2721;499;101;165
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;--;;;0.0000;0.0000;86;0.0000;8285;33;0.5214;17;6;0;48;38;42;1;8218;29;568;568
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;Si;;;186.8709;58.0432;41;6960.9411;4301;616;1.3466;24;1;6;32;9;35;7;2707;412;102;164
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;65.7802;1.01245;64.9713;30.4068;2355;1616.3937;78886;46303;2.2345;226;31;26;1210;1145;1236;1120;65158;40280;31200;46699
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;84;0.0000;8200;35;0.5392;19;7;0;48;36;43;1;8129;31;586;566
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;184.0395;56.6275;40;6955.2783;4277;636;1.2496;28;1;5;32;8;33;6;2692;429;101;162
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;63.9436;0.975074;65.5781;30.0324;2326;1600.6415;78549;45420;2.2554;233;29;29;1204;1122;1245;1108;64859;39470;31418;46965
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;61.4335;0.931298;65.9655;29.9420;2319;1597.2716;79256;44452;2.2544;241;28;32;1197;1122;1250;1095;65432;38586;32320;48233
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;--;;;0.0000;0.0000;90;0.0000;8257;33;0.6213;23;7;0;55;35;50;1;8180;29;590;570
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;Si;;;188.2865;58.0432;41;6942.5371;4273;631;1.3145;32;1;4;33;8;35;6;2692;427;103;164
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;--;;;0.0000;0.0000;96;0.0000;8498;28;0.6514;20;5;0;58;38;54;1;8420;24;672;597
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;Si;;;182.6238;83.5256;59;7357.3339;4615;582;1.6909;44;1;7;50;9;50;7;2961;410;99;150
